,PV output,PeriodStart,hours
538,155.4428969,2018/11/19,10
528,0.0,2018/11/19,00
529,0.0,2018/11/19,01
530,0.0,2018/11/19,02
531,0.0,2018/11/19,03
532,0.0,2018/11/19,04
539,784.275,2018/11/19,11
534,0.0,2018/11/19,06
535,0.0,2018/11/19,07
536,0.0,2018/11/19,08
537,0.0,2018/11/19,09
575,0.0,2018/11/20,23
574,0.0,2018/11/20,22
573,0.0,2018/11/20,21
572,0.0,2018/11/20,20
571,0.0,2018/11/20,19
570,0.0,2018/11/20,18
569,0.0,2018/11/20,17
568,0.0,2018/11/20,16
566,1213.75,2018/11/20,14
565,1555.427778,2018/11/20,13
564,1770.7416670000002,2018/11/20,12
567,716.5277778,2018/11/20,15
562,1013.541667,2018/11/20,10
563,1504.680556,2018/11/20,11
553,0.0,2018/11/20,01
554,0.0,2018/11/20,02
555,0.0,2018/11/20,03
556,0.0,2018/11/20,04
552,0.0,2018/11/20,00
558,0.0,2018/11/20,06
559,0.0,2018/11/20,07
560,0.0,2018/11/20,08
561,27.13888889,2018/11/20,09
557,0.0,2018/11/20,05
590,1014.205556,2018/11/21,14
591,57.45,2018/11/21,15
592,0.0,2018/11/21,16
593,0.0,2018/11/21,17
594,0.0,2018/11/21,18
596,0.0,2018/11/21,20
597,0.0,2018/11/21,21
598,0.0,2018/11/21,22
599,0.0,2018/11/21,23
589,1605.980556,2018/11/21,13
595,0.0,2018/11/21,19
588,1650.677778,2018/11/21,12
579,0.0,2018/11/21,03
586,1203.394444,2018/11/21,10
585,451.2555556,2018/11/21,09
584,158.74444440000002,2018/11/21,08
583,0.0,2018/11/21,07
582,0.0,2018/11/21,06
581,0.0,2018/11/21,05
580,0.0,2018/11/21,04
578,0.0,2018/11/21,02
577,0.0,2018/11/21,01
576,0.0,2018/11/21,00
587,1647.880556,2018/11/21,11
614,754.7722222,2018/11/22,14
615,175.2333333,2018/11/22,15
616,0.0,2018/11/22,16
617,0.0,2018/11/22,17
618,0.0,2018/11/22,18
623,0.0,2018/11/22,23
620,0.0,2018/11/22,20
621,0.0,2018/11/22,21
622,0.0,2018/11/22,22
613,1286.311111,2018/11/22,13
619,0.0,2018/11/22,19
612,1679.372222,2018/11/22,12
603,0.0,2018/11/22,03
610,1825.3972219999998,2018/11/22,10
600,0.0,2018/11/22,00
601,102.4,2018/11/22,01
602,0.0,2018/11/22,02
604,0.0,2018/11/22,04
611,2085.911111,2018/11/22,11
606,0.0,2018/11/22,06
607,0.0,2018/11/22,07
608,0.0,2018/11/22,08
609,953.4444444000001,2018/11/22,09
605,0.0,2018/11/22,05
637,673.1166667,2018/11/23,13
638,16.56388889,2018/11/23,14
639,0.0,2018/11/23,15
640,0.0,2018/11/23,16
641,0.0,2018/11/23,17
643,0.0,2018/11/23,19
644,0.0,2018/11/23,20
645,0.0,2018/11/23,21
636,865.6805555999999,2018/11/23,12
647,0.0,2018/11/23,23
642,0.0,2018/11/23,18
646,0.0,2018/11/23,22
635,637.4416667,2018/11/23,11
633,63.66944444,2018/11/23,09
632,0.0,2018/11/23,08
631,0.0,2018/11/23,07
630,0.0,2018/11/23,06
629,0.0,2018/11/23,05
628,0.0,2018/11/23,04
627,0.0,2018/11/23,03
626,0.0,2018/11/23,02
625,0.0,2018/11/23,01
624,0.0,2018/11/23,00
634,155.4305556,2018/11/23,10
662,1432.875,2018/11/24,14
663,432.06111110000006,2018/11/24,15
664,0.0,2018/11/24,16
665,0.0,2018/11/24,17
661,2582.855556,2018/11/24,13
667,0.0,2018/11/24,19
668,0.0,2018/11/24,20
669,0.0,2018/11/24,21
670,0.0,2018/11/24,22
666,0.0,2018/11/24,18
660,3761.405556,2018/11/24,12
671,0.0,2018/11/24,23
658,1103.566667,2018/11/24,10
648,0.0,2018/11/24,00
649,0.0,2018/11/24,01
650,0.0,2018/11/24,02
651,0.0,2018/11/24,03
652,0.0,2018/11/24,04
659,1556.0305560000002,2018/11/24,11
654,0.0,2018/11/24,06
655,0.0,2018/11/24,07
656,52.88333333,2018/11/24,08
657,858.8666667000001,2018/11/24,09
653,0.0,2018/11/24,05
686,157.9,2018/11/25,14
687,0.0,2018/11/25,15
688,0.0,2018/11/25,16
689,0.0,2018/11/25,17
690,0.0,2018/11/25,18
692,0.0,2018/11/25,20
693,0.0,2018/11/25,21
694,0.0,2018/11/25,22
695,0.0,2018/11/25,23
685,657.1111111,2018/11/25,13
691,0.0,2018/11/25,19
684,630.4472222,2018/11/25,12
675,0.0,2018/11/25,03
682,606.2888889,2018/11/25,10
681,293.8888889,2018/11/25,09
680,0.0,2018/11/25,08
679,0.0,2018/11/25,07
678,0.0,2018/11/25,06
677,0.0,2018/11/25,05
676,0.0,2018/11/25,04
683,777.7972222,2018/11/25,11
674,0.0,2018/11/25,02
673,0.0,2018/11/25,01
672,0.0,2018/11/25,00
710,375.52777779999997,2018/11/26,14
711,0.0,2018/11/26,15
712,0.0,2018/11/26,16
713,0.0,2018/11/26,17
714,0.0,2018/11/26,18
719,0.0,2018/11/26,23
716,0.0,2018/11/26,20
717,0.0,2018/11/26,21
718,0.0,2018/11/26,22
709,1163.894444,2018/11/26,13
715,0.0,2018/11/26,19
708,1061.5777779999999,2018/11/26,12
707,682.9138889,2018/11/26,11
706,232.93333330000002,2018/11/26,10
697,0.0,2018/11/26,01
698,0.0,2018/11/26,02
699,0.0,2018/11/26,03
700,0.0,2018/11/26,04
696,0.0,2018/11/26,00
702,0.0,2018/11/26,06
703,0.0,2018/11/26,07
704,0.0,2018/11/26,08
705,0.0,2018/11/26,09
701,0.0,2018/11/26,05
733,1605.877778,2018/11/27,13
742,0.0,2018/11/27,22
741,0.0,2018/11/27,21
740,0.0,2018/11/27,20
739,0.0,2018/11/27,19
738,0.0,2018/11/27,18
737,0.0,2018/11/27,17
736,0.0,2018/11/27,16
735,78.45845272,2018/11/27,15
734,1395.556851,2018/11/27,14
732,1442.727778,2018/11/27,12
743,0.0,2018/11/27,23
730,1917.219444,2018/11/27,10
720,0.0,2018/11/27,00
721,0.0,2018/11/27,01
722,0.0,2018/11/27,02
723,0.0,2018/11/27,03
724,0.0,2018/11/27,04
731,873.7138889,2018/11/27,11
726,0.0,2018/11/27,06
727,0.0,2018/11/27,07
728,14.04444444,2018/11/27,08
729,1117.863889,2018/11/27,09
725,0.0,2018/11/27,05
766,0.0,2018/11/28,22
765,0.0,2018/11/28,21
764,0.0,2018/11/28,20
763,0.0,2018/11/28,19
762,0.0,2018/11/28,18
761,0.0,2018/11/28,17
760,0.0,2018/11/28,16
759,418.4638889,2018/11/28,15
758,1162.355556,2018/11/28,14
757,1475.2972220000001,2018/11/28,13
756,1246.522222,2018/11/28,12
767,0.0,2018/11/28,23
754,1382.752778,2018/11/28,10
744,0.0,2018/11/28,00
745,0.0,2018/11/28,01
746,0.0,2018/11/28,02
747,0.0,2018/11/28,03
748,0.0,2018/11/28,04
755,1516.319444,2018/11/28,11
750,0.0,2018/11/28,06
751,0.0,2018/11/28,07
752,0.0,2018/11/28,08
753,822.9861111,2018/11/28,09
749,0.0,2018/11/28,05
781,872.3861111,2018/11/29,13
782,775.4361111000001,2018/11/29,14
783,139.06666669999998,2018/11/29,15
784,0.0,2018/11/29,16
785,0.0,2018/11/29,17
787,0.0,2018/11/29,19
788,0.0,2018/11/29,20
789,0.0,2018/11/29,21
790,0.0,2018/11/29,22
780,1366.316667,2018/11/29,12
786,0.0,2018/11/29,18
791,0.0,2018/11/29,23
779,1350.075,2018/11/29,11
777,414.2944444,2018/11/29,09
778,934.9583332999998,2018/11/29,10
768,0.0,2018/11/29,00
769,0.0,2018/11/29,01
771,0.0,2018/11/29,03
770,0.0,2018/11/29,02
773,0.0,2018/11/29,05
774,0.0,2018/11/29,06
775,0.0,2018/11/29,07
776,51.45277778,2018/11/29,08
772,0.0,2018/11/29,04
815,0.0,2018/11/30,23
814,0.0,2018/11/30,22
813,0.0,2018/11/30,21
812,0.0,2018/11/30,20
811,0.0,2018/11/30,19
810,0.0,2018/11/30,18
809,0.0,2018/11/30,17
808,0.0,2018/11/30,16
807,0.0,2018/11/30,15
806,477.775,2018/11/30,14
805,815.8305556,2018/11/30,13
804,1083.016667,2018/11/30,12
802,1112.441667,2018/11/30,10
792,0.0,2018/11/30,00
793,0.0,2018/11/30,01
794,0.0,2018/11/30,02
795,0.0,2018/11/30,03
796,0.0,2018/11/30,04
803,1269.383333,2018/11/30,11
798,0.0,2018/11/30,06
799,0.0,2018/11/30,07
800,0.41666666700000005,2018/11/30,08
801,400.7611111,2018/11/30,09
797,0.0,2018/11/30,05
830,1150.566667,2018/12/01,14
831,491.35,2018/12/01,15
832,0.0,2018/12/01,16
833,0.0,2018/12/01,17
834,0.0,2018/12/01,18
836,0.0,2018/12/01,20
837,0.0,2018/12/01,21
838,0.0,2018/12/01,22
839,0.0,2018/12/01,23
829,2287.166667,2018/12/01,13
835,0.0,2018/12/01,19
828,2452.661111,2018/12/01,12
827,1972.1,2018/12/01,11
826,1135.877778,2018/12/01,10
817,0.0,2018/12/01,01
818,0.0,2018/12/01,02
819,0.0,2018/12/01,03
820,0.0,2018/12/01,04
816,0.0,2018/12/01,00
822,0.0,2018/12/01,06
823,0.0,2018/12/01,07
824,0.0,2018/12/01,08
825,0.0,2018/12/01,09
821,0.0,2018/12/01,05
853,208.4638889,2018/12/02,13
862,0.0,2018/12/02,22
861,0.0,2018/12/02,21
860,0.0,2018/12/02,20
859,0.0,2018/12/02,19
858,0.0,2018/12/02,18
857,0.0,2018/12/02,17
856,0.0,2018/12/02,16
855,0.0,2018/12/02,15
854,238.5111111,2018/12/02,14
852,181.025,2018/12/02,12
863,0.0,2018/12/02,23
850,23.19444444,2018/12/02,10
840,0.0,2018/12/02,00
841,0.0,2018/12/02,01
842,0.0,2018/12/02,02
843,0.0,2018/12/02,03
844,0.0,2018/12/02,04
851,282.3083333,2018/12/02,11
846,0.0,2018/12/02,06
847,0.0,2018/12/02,07
848,0.0,2018/12/02,08
849,0.0,2018/12/02,09
845,0.0,2018/12/02,05
877,606.6027778,2018/12/03,13
886,0.0,2018/12/03,22
885,0.0,2018/12/03,21
884,0.0,2018/12/03,20
883,0.0,2018/12/03,19
882,0.0,2018/12/03,18
881,0.0,2018/12/03,17
880,0.0,2018/12/03,16
879,0.0,2018/12/03,15
878,74.86111111,2018/12/03,14
876,784.6083332999999,2018/12/03,12
887,0.0,2018/12/03,23
874,643.1972222,2018/12/03,10
864,0.0,2018/12/03,00
865,0.0,2018/12/03,01
866,0.0,2018/12/03,02
867,0.0,2018/12/03,03
868,0.0,2018/12/03,04
875,686.1833333,2018/12/03,11
870,0.0,2018/12/03,06
871,0.0,2018/12/03,07
872,0.0,2018/12/03,08
